Account Number, Name, Address, City, State, ZIP, Geocode State, Geocode County, Geocode Tract, Geocode MSA
"240","FIRST BANK","223 MCKINNEY ST","FARMERSVILLE","TX","75442","48","085","0311.00","19124"
"241","DARBY BANK & TRUST CO.","PO BOX 670","VIDALIA","GA","30475","","","9999.04",""
"242","SECURITY STATE BANK","107 S GARNAVILLO ST","ANAMOSA","IA","52205","19","105","0703.00","16300"
"243","FREESTAR BANK, NATIONAL ASSOCIATION","223 N MILL ST","PONTIAC","IL","61764","17","105","9605.00",""
"244","FIRST FINANCIAL BANK, NATIONAL ASSOCIATI","201 E MAIN ST","EASTLAND","TX","76448","48","133","9502.00",""
"245","PEOPLES STATE BANK","9252 JOSEPH CAMPAU ST","HAMTRAMCK","MI","48212","26","163","5528.00","19804"
"246","HEDRICK SAVINGS BANK","216 S MARKET ST","OTTUMWA","IA","52501","19","179","9605.00",""
"247","PILSEN STATE BANK, LINCOLNVILLE, KANSAS","220 W MAIN ST","LINCOLNVILLE","KS","66858","20","115","4895.00",""
"248","THE EXCHANGE BANK OF SOUTH CAROLINA, INC","130 W MAIN ST","KINGSTREE","SC","29556","45","089","9705.02",""
"249","ALLIANT BANK","514 N COMMERCIAL AVE","SEDGWICK","KS","67135","20","079","0306.00","48620"
"250","SIGNATURE BANK","501 MAIN ST","HADDAM","KS","66944","20","201","9786.00",""
"251","COMMUNITY STATE BANK","108 MAIN ST","NORWALK","WI","54648","55","081","9508.00",""
"252","BAY BANK & TRUST CO.","509 HARRISON AVE","PANAMA CITY","FL","32401","12","005","0020.00","37460"
"253","BANK OF WESTMINSTER","306 E WINDSOR ST","WESTMINSTER","SC","29693","45","073","0310.00",""
"254","BANK OF BERTRAND","601 MINOR AVE","BERTRAND","NE","68927","31","137","9672.00",""
"255","CORNERSTONE BANK & TRUST, NATIONAL ASSOC","600 N MAIN ST","CARROLLTON","IL","62016","17","061","9740.00",""
"256","THE TROY STATE BANK","121 S MAIN ST","TROY","KS","66087","20","043","0202.00","41140"
"257","THE BANK OF MCLOUTH","117 S UNION ST","MC LOUTH","KS","66054","20","087","0203.00","45820"
"258","1ST AMERICAN STATE BANK OF MINNESOTA","MAIN STREET","HANCOCK","MN","56244","27","149","9999.03",""
"259","MEDINA VALLEY STATE BANK","200 STATE HIGHWAY 132 N","DEVINE","TX","78016","48","325","0008.00","41700"
"260","SOUTHERN BANCORP BANK OF BLYTHEVILLE, NA","120 S 2ND ST","BLYTHEVILLE","AR","72315","05","093","0101.00",""
"261","CITIZENS BANK","103 TEXAS AVE","SLATON","TX","79364","48","303","0106.00","31180"
"262","FIRST NATIONAL BANK","8 E MAIN ST","IDABEL","OK","74745","40","089","0988.00",""
"263","SHOREBANK","7054 S JEFFERY BLVD","CHICAGO","IL","60649","17","031","4302.00","16974"
"264","FIRST COMMUNITY BANK OF TIFTON","218 LOVE AVE","TIFTON","GA","31794","13","277","9603.00",""
"265","CARTER COUNTY BANK OF ELIZABETHTON, TENN","601 ELK AVE","ELIZABETHTON","TN","37643","47","019","0701.00","27740"
"266","BANK IOWA","606 W MILWAUKEE ST","NEW HAMPTON","IA","50659","19","037","0704.00",""
"267","TIPPINS BANK","101 N DUVAL ST","CLAXTON","GA","30417","13","109","9703.00",""
"268","THE FIRST STATE BANK OF BURLINGAME","115 S TOPEKA AVE","BURLINGAME","KS","66413","20","139","0102.00","45820"
"269","FIRST NATIONAL BANK","MAIN STREET","ROSEDALE","MS","38769","28","011","9999.03",""
"270","AMERICAN BANK, NATIONAL ASSOCIATION","975 KELLER PKWY","KELLER","TX","76248","48","439","1139.11","23104"
"271","COMMERCIAL BANK & TRUST COMPANY OF TROUP","200 N GREENWOOD ST","LAGRANGE","GA","30240","13","285","9604.00",""
"272","FARMER CITY STATE BANK","333 S MAIN ST","FARMER CITY","IL","61842","17","039","9714.00","14010"
"273","MARATHON STATE BANK","MAIN STREET","MARATHON","WI","54448","55","073","9999.03","48140"
"274","STATE BANK OF LUCAN","106 MAIN ST","LUCAN","MN","56255","27","127","7505.00",""
"275","SECURITY STATE BANK","15 GOETHE ST","GUTTENBERG","IA","52052","19","043","0704.00",""
"276","THE ROME SAVINGS BANK","100 W DOMINICK ST","ROME","NY","13440","36","065","0263.00","46540"
"277","FLUSHING SAVINGS BANK, FSB","14451 NORTHERN BLVD","FLUSHING","NY","11354","36","081","1171.00","35614"
"278","FIRST SUBURBAN NATIONAL BANK","150 S 5TH AVE","MAYWOOD","IL","60153","17","031","8175.00","16974"
"279","BANK STAR OF THE LEADBELT","365 W MAIN ST","PARK HILLS","MO","63601","29","187","9510.00",""
"280","FIRST FINANCIAL BANK","205 MAIN AVE W","TWIN VALLEY","MN","56584","27","107","9601.00",""
"281","MARSHALL BANK, NATIONAL ASSOCIATION","203 S 2ND ST","HALLOCK","MN","56728","27","069","0902.00",""
"282","MAINLINE NATIONAL BANK","737 MAIN ST","PORTAGE","PA","15946","42","021","0130.00","27780"
"283","FIRST STATE BANK","300 E MAIN ST","MANCHESTER","IA","52057","19","055","9503.00",""
"284","ERIE STATE BANK","915 8TH AVE","ERIE","IL","61250","17","195","0006.00",""
"285","JASPER BANKING COMPANY","100 MARK WHITFIELD DR","JASPER","GA","30143","13","227","0502.00","12060"
"286","FIRST NATIONAL BANK OF ILLINOIS","3256 RIDGE RD","LANSING","IL","60438","17","031","8281.00","16974"
"287","CANTON STATE BANK","111 N MAIN ST","CANTON","MN","55922","27","045","9605.00","40340"
"288","TOWN & COUNTRY BANK MIDWEST","NORTH ESTATE BETWEEN WOOD AND POMERO","LA BELLE","MO","63447","29","111","9999.03",""
"289","PEOPLES NATIONAL BANK LEADVILLE","400 HARRISON AVE","LEADVILLE","CO","80461","08","065","9617.00",""
"290","FRONTIER BANK","401 VERNON ST","LAGRANGE","GA","30240","13","285","9604.00",""
"291","ACCESS BANK","11150 COMMERCE DR N","CHAMPLIN","MN","55316","27","053","0269.07","33460"
"292","FIRST NATIONAL BANK OF GEORGIA","201 MAPLE ST","CARROLLTON","GA","30117","13","045","9106.00","12060"
"293","THE FIRST COMMERCIAL BANK","6945 N CLARK ST","CHICAGO","IL","60626","17","031","0107.02","16974"
"294","1ST BANK","1001 MAIN ST","EVANSTON","WY","82930","56","041","9754.00",""
"295","FIRST CHOICE COMMUNITY BANK 1874","1595 HIGHWAY 34 E","NEWNAN","GA","30265","13","077","1703.06","12060"
"296","FIRST GUARANTY BANK AND TRUST COMPANY OF","1234 KING ST","JACKSONVILLE","FL","32204","12","031","0021.01","27260"
"297","FIRST FINANCIAL BANK","THIRD AND SAMPSON STREETS","HEREFORD","TX","79045","48","117","9999.03",""
"298","CITIZENS STATE BANK OF KELLIHER","184 MAIN ST E","KELLIHER","MN","56650","27","007","4505.00",""
"299","METROBANK","3322 OAK PARK AVE","BERWYN","IL","60402","17","031","8154.00","16974"
"300","MARKLEBANK","180 E MORSE ST","MARKLE","IN","46770","18","069","9617.00",""
"301","FIRST FINANCIAL BANK, NATIONAL ASSOCIATI","201 ELM ST","SWEETWATER","TX","79556","48","353","9503.00",""
"302","THE FIRST STATE BANK","401 E SOUTH ST","ARMA","KS","66712","20","037","9566.00",""
"303","AMERICAN STATE BANK","1401 AVENUE Q","LUBBOCK","TX","79401","48","303","0007.00","31180"
"304","AMERICAN MARINE BANK","249 WINSLOW WAY E","BAINBRIDGE IS","WA","98110","53","035","0909.00","14740"
"305","FIRST STATE BANK","660 W MAIN ST","VAN","TX","75790","48","467","9508.00",""
"306","THE COASTAL BANK OF GEORGIA","1500 NEWCASTLE ST","BRUNSWICK","GA","31520","13","127","0008.00","15260"
"307","GUARANTY BANK","609 MAIN ST","MAMOU","LA","70554","22","039","9504.00",""
"308","FARMERS NATIONAL BANK OF KANSAS","200 S MAIN","WALNUT","KS","66780","20","037","9567.00",""
"309","MAROA FORSYTH COMMUNITY BANK","101 E MAIN ST","MAROA","IL","61756","17","115","0030.00","19500"
"310","UNITED BANK OF KANSAS","10101 WOODLAND DR","LENEXA","KS","66220","20","091","0525.04","28140"
"311","FIRST NATIONAL BANK OF THE NORTH","510 N MAIN AVE","SANDSTONE","MN","55072","27","115","9504.00",""
"312","THE CITIZENS STATE BANK","201 STARR AVE","MILTONVALE","KS","67466","20","029","9771.00",""
"313","CITIZENS BANK & TRUST COMPANY","106 S MAIN ST","SPRINGHILL","LA","71075","22","119","0313.00","43340"
"314","DOWNERS GROVE NATIONAL BANK","6301 FAIRVIEW AVE","WESTMONT","IL","60559","17","043","8457.02","16974"
"315","ST. STEPHEN STATE BANK","2 CENTRAL AVE S","SAINT STEPHEN","MN","56375","27","145","0102.00","41060"
"316","BANKHAVEN","101 N KANSAS ST","HAVEN","KS","67543","20","155","0014.00",""
"317","PALOS BANK AND TRUST COMPANY","12600 S HARLEM AVE","PALOS HEIGHTS","IL","60463","17","031","8239.04","16974"
"318","THE FARMERS STATE BANK OF HIGHLAND, KANS","402 W MAIN ST","HIGHLAND","KS","66035","20","043","0201.00","41140"
"319","THE FARMERS' STATE BANK OF JETMORE, KANS","601 MAIN ST","JETMORE","KS","67854","20","083","4611.00",""
"320","SUPERIOR BANK","17 20TH ST N","BIRMINGHAM","AL","35203","01","073","0027.00","13820"
"321","BC NATIONAL BANKS","1109 W FORT SCOTT ST","BUTLER","MO","64730","29","013","0703.00","28140"
"322","FARMERS STATE BANK","221 MAIN STREET","STICKNEY","SD","57375","46","003","9736.00",""
"323","BANK OF MINTO","521 2ND ST","MINTO","ND","58261","38","099","9578.00",""
"324","WILLIAMSBURG FIRST NATIONAL BANK","200 W MAIN ST","KINGSTREE","SC","29556","45","089","9705.02",""
"325","OSWEGO COMMUNITY BANK","10 S MADISON ST","OSWEGO","IL","60543","17","093","8901.02","16974"
"326","THE WELLSVILLE BANK","112 W 6TH ST","WELLSVILLE","KS","66092","20","059","9999.03",""
"327","PLAZA BANK, NORRIDGE, ILLINOIS","7460 W IRVING PARK RD","NORRIDGE","IL","60706","17","031","9999.03","16974"
"328","MARYLAND BANK AND TRUST COMPANY, NATIONA","46930 S SHANGRI LA DR","LEXINGTON PARK","MD","20653","24","037","9999.03","15680"
"329","MIDWEST BANK AND TRUST COMPANY","1606 N HARLEM AVE","ELMWOOD PARK","IL","60707","17","031","8109.00","16974"
"330","BAY-HERMANN-BERGER BANK","501 MARKET ST","HERMANN","MO","65041","29","073","9601.00",""
"331","SANTA BARBARA BANK & TRUST, NATIONAL ASS","20 E CARRILLO ST","SANTA BARBARA","CA","93101","06","083","0009.00","42200"
"332","NEWALLIANCE BANK","195 CHURCH ST","NEW HAVEN","CT","06510","09","009","1401.00","35300"
"333","THE EMMET COUNTY STATE BANK","101 N 6TH ST","ESTHERVILLE","IA","51334","19","063","0704.00",""
"334","FRANKLIN NATIONAL BANK OF MINNEAPOLIS","525 WASHINGTON AVE N","MINNEAPOLIS","MN","55401","27","053","1262.00","33460"
"335","LOGAN COUNTY BANK","303 PULASKI ST","LINCOLN","IL","62656","17","107","9533.00",""
"336","WHITNEY NATIONAL BANK","228 SAINT CHARLES AVE","NEW ORLEANS","LA","70130","22","071","0134.00","35380"
"337","CENTRAL VALLEY BANK","537 W 2ND AVE","TOPPENISH","WA","98948","53","077","9400.05","49420"
"338","ARCHER BANK","4970 S ARCHER AVE","CHICAGO","IL","60632","17","031","5704.00","16974"
"339","ADVANTA  BANK","1 RIGHTER PKWY","WILMINGTON","DE","19803","10","003","0117.00","48864"
"340","CITICORP TRUST BANK, FSB","4500 NEW LINDEN HILL RD","WILMINGTON","DE","19808","10","003","0136.07","48864"
"341","FARMERS STATE BANK","509 6TH AVE","FAIRMONT","NE","68354","31","059","0916.00",""
"342","THE FARMERS BANK","5320 N 148TH ST","LINCOLN","NE","68527","31","109","0101.00","30700"
"343","AMERICAN NATIONAL BANK","5603 RIDGE RD","PARMA","OH","44129","39","035","1772.01","17460"
"344","CITIZENS NATIONAL BANK OF BRECKENRIDGE","301 W WALKER ST","BRECKENRIDGE","TX","76424","48","429","9505.00",""
"345","VALLEY BANK","320 MAIN ST E","WATERVILLE","MN","56096","27","079","9504.00","33460"
"346","EXCHANGE NATIONAL BANK OF MOORE","600 NW 5TH ST","MOORE","OK","73160","40","027","2016.03","36420"
"347","DAKOTA COUNTY STATE BANK","2024 DAKOTA AVE","SOUTH SIOUX CITY","NE","68776","31","043","0102.00","43580"
"348","COPPERMARK BANK","3333 NW EXPRESSWAY","OKLAHOMA CITY","OK","73112","40","109","1066.06","36420"
"349","LAKEWOOD BANK, NATIONAL ASSOCIATION","14084 BAXTER DR STE 16","BAXTER","MN","56425","27","035","9512.00",""
"350","HASTINGS STATE BANK","530 N BURLINGTON AVE","HASTINGS","NE","68901","31","001","9657.00",""
"351","HERITAGE FIRST BANK","1820 GULF SHORES PKWY","GULF SHORES","AL","36542","01","003","0114.06","19300"
"352","THE BANK OF MIAMI, NATIONAL ASSOCIATION","121 ALHAMBRA PLZ","CORAL GABLES","FL","33134","12","086","0062.06","33124"
"353","THE ELGIN STATE BANK","1001 S RANDALL RD","ELGIN","IL","60123","17","089","8519.10","20994"
"354","THE LONE STAR STATE BANK","300 N MAIN ST","LONE STAR","TX","75668","48","343","9502.00",""
"355","EXCEL BANK","818 THOMPSON BLVD","SEDALIA","MO","65301","29","159","4807.00",""
"356","MCINTOSH STATE BANK","210 S OAK ST","JACKSON","GA","30233","13","035","1502.00","12060"
"357","FRONTIER BANK","100 W 6TH ST","DAVENPORT","NE","68335","31","169","9631.00",""
"358","THE FIRST STATE BANK","4806 N HENRY BLVD","STOCKBRIDGE","GA","30281","13","151","0701.13","12060"
"359","UMB BANK COLORADO, NATIONAL ASSOCIATION","1670 BROADWAY","DENVER","CO","80202","08","031","0026.01","19740"
"360","MID CITY BANK, INC.","304 S 42ND ST","OMAHA","NE","68131","31","055","0044.00","36540"
"361","AMERICAUNITED BANK AND TRUST COMPANY USA","321 W GOLF RD","SCHAUMBURG","IL","60195","17","031","8047.09","16974"
"362","MONTGOMERY BANK & TRUST","LEE AND GUM STREETS","AILEY","GA","30410","13","209","9999.03",""
"363","CAMERON STATE BANK","4440 NELSON RD","LAKE CHARLES","LA","70605","22","019","0019.03","29340"
"364","HIGH TRUST BANK","280 COUNTRY CLUB DR","STOCKBRIDGE","GA","30281","13","151","0701.14","12060"
"365","UNION BANK IN LIQUIDATION","1188 WALTERS WAY LN","OLIVETTE","MO","63132","29","189","2156.00","41180"
"366","COMMUNITY BANK AND TRUST OF SOUTHEAST AL","3680 W MAIN ST","DOTHAN","AL","36305","01","069","9999.03","20020"
"367","CENTRAL PROGRESSIVE BANK","29092 KRENTEL RD","LACOMBE","LA","70445","22","103","0407.01","35380"
"368","EAGLE BANK AND TRUST COMPANY","650 S SHACKLEFORD RD STE 150","LITTLE ROCK","AR","72211","05","119","0024.07","30780"
"369","STATE BANK OF LONG ISLAND","2 JERICHO PLZ","JERICHO","NY","11753","36","059","5185.01","35004"
"370","PLANTERS & MERCHANTS BANK","MAIN AND THIRD STREETS","GILLETT","AR","72055","05","001","9999.03",""
"371","ENTERPRISE BANKING COMPANY","2097 HIGHWAY 20 W","MCDONOUGH","GA","30253","13","151","0703.06","12060"
"372","COUNTRYBANK USA","505 FOURTH STREET","CANDO","ND","58324","38","095","9515.00",""
"373","FIRSTBANK OF VAIL","17 VAIL RD","VAIL","CO","81657","08","037","0007.02",""
"374","PEOPLES STATE BANK","207 MAIN ST","JEFFERSONVILLE","GA","31044","13","289","0601.00","31420"
"375","NEXITY BANK","3680 GRANDVIEW PKWY STE 200","BIRMINGHAM","AL","35243","01","073","0128.03","13820"
"376","THE PARK AVENUE BANK","3102 N OAK STREET EXT","VALDOSTA","GA","31602","13","185","0106.01","46660"
"377","BANKEAST","607 MARKET ST","KNOXVILLE","TN","37902","47","093","0001.00","28940"
"378","BANCO BILBAO VIZCAYA  ARGENTARIA PUERTO","TORRE BBVA, AVENIDA 254 MUNOZ RIVERA","SAN JUAN","PR","00918","72","127","9999.03","41980"
"379","BTC LEGACY CORP.","227 WATER ST","AUGUSTA","ME","04330","23","011","0103.00",""
"380","FIRSTBANK OF WHEAT RIDGE","4350 WADSWORTH BLVD","WHEAT RIDGE","CO","80033","08","059","0105.02","19740"
"381","SUN SECURITY BANK","400 E WALNUT ST","ELLINGTON","MO","63638","29","179","3802.00",""
"382","SB&T BANK","401 PINE AVE","ALBANY","GA","31701","13","095","0114.00","10500"
"383","AMERICAN STATE BANK","3816 N PEORIA AVE","TULSA","OK","74106","40","143","0080.02","46140"
"384","COMMUNITY BANK, NATIONAL ASSOCIATION","6808 AIRPORT BLVD","MOBILE","AL","36608","01","097","0036.07","33660"
"385","GULF STATE COMMUNITY BANK","206 SAINT JAMES AVE","CARRABELLE","FL","32322","12","037","9701.00",""
"386","CLEAR CREEK NATIONAL BANK","502 6TH ST","GEORGETOWN","CO","80444","08","019","0149.00","19740"
"387","BANK OF THE COMMONWEALTH","BOUSH AND FREEMASON STREETS","NORFOLK","VA","23510","51","710","9999.03","47260"
"388","EDENS BANK","3245 LAKE AVE","WILMETTE","IL","60091","17","031","8009.00","16974"
"389","EVERGREEN BANK","1111 3RD AVE STE 100","SEATTLE","WA","98101","53","033","0081.00","42644"
"390","BLAINE STATE BANK","10107 UNIVERSITY AVE NE","BLAINE","MN","55434","27","003","0508.09","33460"
"391","FIRST UNITED BANK","700 W EXCHANGE ST","CRETE","IL","60417","17","197","8838.04","16974"
"392","WHITE OAK STATE BANK","1101 S WHITE OAK RD","WHITE OAK","TX","75693","48","183","0102.00","30980"
"393","FIRST TEXAS BANK","500 ROUND ROCK AVE","ROUND ROCK","TX","78664","48","491","0207.01","12420"
"394","BANK OF COWETA","110 JEFFERSON ST","NEWNAN","GA","30263","13","077","1703.05","12060"
"395","COASTAL BANK AND TRUST OF FLORIDA","125 W ROMANA ST STE 400","PENSACOLA","FL","32502","12","033","0001.00","37860"
"396","THE HEIGHTS BANK","4717 N PROSPECT RD","PEORIA HEIGHTS","IL","61616","17","143","0042.00","37900"
"397","NORTHSTAR BANK OF TEXAS","400 N CARROLL BLVD","DENTON","TX","76201","48","121","0207.00","19124"
"398","FIRST SECURITY BANK OF MISSOULA","1704 DEARBORN AVE","MISSOULA","MT","59801","30","063","0010.00","33540"
"399","COMMUNITY BANKS OF COLORADO","5570 DTC PKWY","GREENWOOD VILLAGE","CO","80111","08","005","0068.58","19740"
"400","STATE BANK OF CARBONDALE","530 W NORTH ST","CARBONDALE","KS","66414","20","139","0101.00","45820"
"401","STERLING BANK","4121 CARMICHAEL RD","MONTGOMERY","AL","36106","01","101","0033.02","33860"
"402","LOS ANGELES NATIONAL BANK","7025 ORANGETHORPE AVE","BUENA PARK","CA","90621","06","059","1105.00","11244"
"403","TIB BANK","6435 NAPLES BLVD","NAPLES","FL","34109","12","021","0102.12","34940"
"404","BARTOW COUNTY BANK","301 E CHURCH ST","CARTERSVILLE","GA","30120","13","015","9607.00","12060"
"405","CITY BANK","14807 HIGHWAY 99","LYNNWOOD","WA","98087","53","061","0518.03","42644"
"406","COMMUNITY BANK OF THE ARBUCKLES","1100 W BROADWAY AVE","SULPHUR","OK","73086","40","099","7908.00",""
"407","DOUGLAS COUNTY BANK","6157 FAIRBURN RD","DOUGLASVILLE","GA","30134","13","097","0803.03","12060"
"408","BANK OF TEXAS.  NATIONAL ASSOCIATION","5956 SHERRY LN STE 1100","DALLAS","TX","75225","48","113","0073.01","19124"
"409","THE COMMUNITY BANK OF SHELL KNOB","24829 STATE HIGHWAY 39","SHELL KNOB","MO","65747","29","209","9999.03",""
"410","STERLING BANK","2950 NORTH LOOP W","HOUSTON","TX","77092","48","201","5301.00","26420"
"411","WAKULLA BANK","2932 CRAWFORDVILLE HWY","CRAWFORDVILLE","FL","32327","12","129","0102.01","45220"
"412","TALLAHASSEE STATE BANK","2720 W TENNESSEE ST","TALLAHASSEE","FL","32304","12","073","0021.04","45220"
"413","CENTRAL BANK","101 S BANK STREET","ASHKUM","IL","60911","17","075","9999.03",""
"414","FIRSTBANK OF BOULDER","6500 LOOKOUT RD","BOULDER","CO","80301","08","013","9999.03","14500"
"415","FIRSTBANK OF DOUGLAS COUNTY","2 E PLUM CREEK PKWY","CASTLE ROCK","CO","80104","08","035","0145.05","19740"
"416","FIRST FINANCIAL BANK, NATIONAL ASSOCIATI","301 W BEAUREGARD AVE","SAN ANGELO","TX","76903","48","451","0018.00","41660"
"417","HILLCREST BANK","11111 W 95TH ST","OVERLAND PARK","KS","66214","20","091","0519.04","28140"
"418","SOUTH VALLEY BANK & TRUST","5215 S 6TH ST","KLAMATH FALLS","OR","97603","41","035","9713.00",""
"419","TEXAS FIRST BANK","12402 HIGHWAY 6","SANTA FE","TX","77510","48","167","7234.00","26420"
"420","COLUMBIA RIVER BANK","316 E 3RD ST","THE DALLES","OR","97058","41","065","9702.00",""
"421","COVENANT BANK","1111 S HOMAN AVE","CHICAGO","IL","60624","17","031","8430.00","16974"
"422","PAONIA STATE BANK","128 GRAND AVE","PAONIA","CO","81428","08","029","9646.00",""
"423","TREATY OAK BANK","101 WESTLAKE DR STE 110","WEST LAKE HILLS","TX","78746","48","453","0019.18","12420"
"424","BANK OF WHITMAN","201 S MAIN ST","COLFAX","WA","99111","53","075","0008.00",""
"425","FIRSTBANK OF SOUTH JEFFCO","5125 S KIPLING PKWY","LITTLETON","CO","80127","08","059","0120.42","19740"
"426","TOWN AND COUNTRY BANK","150 HARBIN DRIVE","STEPHENVILLE","TX","76401","48","143","9504.00",""
"427","CITIZENS STATE BANK OF SHAKOPEE","1100 4TH AVE E","SHAKOPEE","MN","55379","27","139","0804.00","33460"
"428","BANK OF SHOREWOOD","700 W JEFFERSON ST","SHOREWOOD","IL","60404","17","197","8832.16","16974"
"429","THE COWLITZ BANK","927 COMMERCE AVE","LONGVIEW","WA","98632","53","015","0021.00","31020"
"430","ADAMS NATIONAL BANK","1130 CONNECTICUT AVE NW","WASHINGTON","DC","20036","11","001","0107.00","47894"
"431","SHOREBANK, PACIFIC","203 HOWERTON WAY SE","ILWACO","WA","98624","53","049","9505.00",""
"432","FRONTIER BANK","332 SW EVERETT MALL WAY","EVERETT","WA","98204","53","061","0418.06","42644"
"433","VALLEY BANK OF HELENA","3030 N MONTANA AVE","HELENA","MT","59601","30","049","0005.02",""
"434","COLORADO MOUNTAIN BANK","1000 MAIN ST","WESTCLIFFE","CO","81252","08","027","9701.00",""
"435","FIRSTBANK OF ARVADA","6355 WARD RD","ARVADA","CO","80004","08","059","0098.51","19740"
"436","FIRST CALIFORNIA BANK","3027 TOWNSGATE RD STE 300","WESTLAKE VILLAGE","CA","91361","06","111","0059.07","37100"
"437","DELAWARE NATIONAL BANK","21035 DUPONT BLVD","GEORGETOWN","DE","19947","10","005","0505.03","41540"
"438","BROADWAY BANK","5960 N BROADWAY ST","CHICAGO","IL","60660","17","031","0302.00","16974"
"439","PREMIER BANK","15301 W 87TH STREET PKWY","LENEXA","KS","66219","20","091","0524.15","28140"
"440","HORIZON BANK","1500 CORNWALL AVE","BELLINGHAM","WA","98225","53","073","0006.00","13380"
"441","FIRST REGIONAL BANK","1801 CENTURY PARK E","LOS ANGELES","CA","90067","06","037","2679.01","31084"
"442","BOREL PRIVATE BANK & TRUST COMPANY","160 BOVET RD","SAN MATEO","CA","94402","06","081","6066.00","41884"
"443","SECURITY BANK, NATIONAL ASSOCIATION","1450 S STATE ROAD 7","NORTH LAUDERDALE","FL","33068","12","011","0205.02","22744"
"444","HOME VALLEY BANK","103 S KERBY AVE","CAVE JUNCTION","OR","97523","41","033","3616.00","24420"
"445","CHARTER NATIONAL BANK AND TRUST","2200 W HIGGINS RD","HOFFMAN EST","IL","60169","17","031","8047.01","16974"
"446","GOTHAM BANK OF NEW YORK","1412 BROADWAY","NEW YORK","NY","10018","36","061","0113.00","35614"
"447","RIVERBANK","30 MASSACHUSETTS AVE","NORTH ANDOVER","MA","01845","25","009","2531.00","15764"
"448","WILLIAMSTOWN SAVINGS BANK","795 MAIN ST","WILLIAMSTOWN","MA","01267","25","003","9201.02","38340"
"449","COMMUNITY NATIONAL BANK","7641 LAKE DR","LINO LAKES","MN","55014","27","003","0502.33","33460"
"450","FIRSTBANK - WEST BRANCH","502 W HOUGHTON AVE","WEST BRANCH","MI","48661","26","129","9505.00",""
"451","FIRST STATE BANK","1405 16TH ST","WHEATLAND","WY","82201","56","031","9594.00",""
"452","FARMERS STATE BANK, ASTORIA","122 W BROADWAY","ASTORIA","IL","61501","17","057","9539.00",""
"453","CITIBANK (SOUTH DAKOTA), N.A.","701 E 60TH ST N","SIOUX FALLS","SD","57104","46","099","0001.00","43620"
"454","AMERICAN BANK OF TEXAS, NATIONAL ASSOCIA","418 US HIGHWAY 281","MARBLE FALLS","TX","78654","48","053","9999.03",""
"455","FIRSTBANK OF LAKEWOOD","550 S WADSWORTH BLVD","LAKEWOOD","CO","80226","08","059","0118.05","19740"
"456","OCEANIC BANK","130 BATTERY ST","SAN FRANCISCO","CA","94111","06","075","0117.00","41884"
"457","FIRSTBANK OF AVON","11 E BEAVER CREEK BLVD","AVON","CO","81620","08","037","0005.03",""
"458","FIRST HERITAGE BANK","167 LINCOLN AVE","SNOHOMISH","WA","98290","53","061","0524.02","42644"
"459","PALM DESERT NATIONAL BANK","73745 EL PASEO","PALM DESERT","CA","92260","06","065","0451.17","40140"
"460","AMERIKA SAMOA BANK","FAGATOGO","PAGO PAGO","AS","96799","15","009","9999.03","27980"
"461","NEW YORK NATIONAL BANK","369 E 149TH ST","BRONX","NY","10455","36","005","0065.00","35614"
"462","WOOD COUNTY NATIONAL BANK","417 S MAIN ST","QUITMAN","TX","75783","48","499","9505.00",""
"463","FARMERS STATE BANK OF FULTON COUNTY","105 W LINCOLN AVE","LEWISTOWN","IL","61542","17","057","9538.00",""
"464","INNOVATIVE BANK","360 14TH ST","OAKLAND","CA","94612","06","001","4030.00","36084"
"465","RIVERSIDE NATIONAL BANK OF FLORIDA","2211 OKEECHOBEE RD","FORT PIERCE","FL","34950","12","111","3804.00","38940"
"466","BORREGO SPRINGS BANK, NATIONAL ASSOCIATI","7777 ALVARADO RD STE 515","LA MESA","CA","91942","06","073","0148.06","41740"
"467","FIRSTBANK OF TECH CENTER","5105 DTC PKWY","GREENWOOD VILLAGE","CO","80111","08","005","0068.58","19740"
"468","ROSEMOUNT NATIONAL BANK","15055 CHIPPENDALE AVENUE SOUTH","ROSEMOUNT","MN","55068","27","037","0610.01","33460"
"469","NORTHERN TRUST, NATIONAL ASSOCIATION","700 BRICKELL AVE","MIAMI","FL","33131","12","086","0067.02","33124"
"470","FIRSTBANK OF AURORA","2300 S HAVANA ST","AURORA","CO","80014","08","005","0803.00","19740"
"471","FIRST NATIONAL BANK OF THE MID-CITIES","4009 AIRPORT FWY","BEDFORD","TX","76021","48","439","1136.28","23104"
"472","UVALDE NATIONAL BANK","727 E MAIN ST","UVALDE","TX","78801","48","463","9505.00",""
"473","AMERICAN NATIONAL BANK OF FREMONT","99 W 6TH ST","FREMONT","NE","68025","31","053","9642.00",""
"474","FIRST LOUISIANA NATIONAL BANK","485 MILLS AVENUE","BREAUX BRIDGE","LA","70517","22","099","0205.01","29180"
"475","FIRSTBANK OF SUMMIT COUNTY","160 U.S. HIGHWAY 6","SILVERTHORNE","CO","80498","08","117","9999.03",""
"476","TEXAS COASTAL BANK","6731 SPENCER HWY","PASADENA","TX","77505","48","201","3422.00","26420"
"477","FIRST PRIVATE BANK & TRUST","16000 VENTURA BLVD","ENCINO","CA","91436","06","037","1414.00","31084"
"478","STONE COUNTY NATIONAL BANK","203 PIRATE LN","CRANE","MO","65633","29","209","0901.00",""
"479","FIRST LOWNDES BANK","115 OLD FORT RD W","FORT DEPOSIT","AL","36032","01","085","7812.00","33860"
